Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
ALLERIN SYR,"17,500.00",BEBAS,"Mengatasi batuk berdahak karena adanya iritasi, alergi & batuk spasmodik"
AMOXICILLIN SYR SAMPH,"7,500.00",RESEP DOKTER,"Antibiotik golongan penisilin yang memiliki spektrum yang luas terhadap bakteri gram positif dan gram negatif. Amoxicilin digunakan untuk mengatasi infeksi akibat bakteri seperti : infeksi saluran pernapasan, infeksi saluran kemih dan kelamin, infeksi kulit dan jaringan lunak, demam tifoid dan paratiroid, otitis media."
ALTAMED RAPID TEST ANTIGEN,"20,000.00",BEBAS,"Alat test visual immunoassay yang cepat untuk deteksi kualitatif, dugaan antigen COVID-19 dari swab nasofaring"
ATS,"200,000.00",RESEP DOKTER,"Untuk mencegah tetanus pada luka yang terkontaminasi dengan tanah, debu jalan atau bahan lain yang dapat menyebabkan infeksi Claostridium tetani"
ATS BOX,"1,750,000.00",RESEP DOKTER,"Untuk mencegah tetanus pada luka yang terkontaminasi dengan tanah, debu jalan atau bahan lain yang dapat menyebabkan infeksi Claostridium tetani (10 ampul @ 1 mL"
ABBOCATH INFLO,"6,000.00",RESEP DOKTER,"Jarum yang digunakan untuk pemasangan infuse, untuk mengambil cairan udema (Ukuran 16 CM)"
ABBOCATH ABBOTH,"20,000.00",RESEP DOKTER,"Jarum yang digunakan untuk pemasangan infuse, untuk mengambil cairan udema (Ukuran 16 CM)"
ABBOCATH TERUMO,"13,000.00",RESEP DOKTER,"Jarum yang digunakan untuk pemasangan infuse, untuk mengambil cairan udema (Ukuran 24 CM)"
ACE-MAXS 350 ML KH,"175,000.00",BEBAS,"Mengandung xanthone yang berperan sebagai anti proliferasi dan apoptosis sel kanker, Sirsak (Annona Muricata L.) Daun sirsak mengandung senyawa acetogenin, minyak esensial, reticuline, loreximine, coclaurine, annomurine, higenamine. Bermanfaat menghambat sel kanker dengan menginduksi apoptosis, antidiare, analgetik, anti disentri, anti asma, anthelmitic, dilatasi pembuluh darah, menstimulasi pencernaan, mengurangi depresi."
ACETYLSISTEINE 200MG ETERCON,"10,000.00",RESEP DOKTER,Obat yang digunakan untuk mengencerkan dahak atau lendir pada penyakit saluran pernafasan.
ACETYLSISTEINE 200MG ETERCON BOX,"80,000.00",RESEP DOKTER,Obat yang digunakan untuk mengencerkan dahak atau lendir pada penyakit saluran pernafasan (10 strip@10kapsul)
ACIFAR 200MG,"6,000.00",RESEP DOKTER,"Mengandung acyclovir/asiklovir yang digunakan untuk mengobati infeksi yang disebabkan oleh virus seperti varisela zoster (penyebab herpes zoster atau cacar api) dan herpes simpleks (penyebab herpes genital dan cold sore atau luka melepuh di sekitar bibir).
Rp. 5.500"
ACIFAR 200MG BOX,"55,000.00",RESEP DOKTER,"Mengandung acyclovir/asiklovir yang digunakan untuk mengobati infeksi yang disebabkan oleh virus seperti varisela zoster (penyebab herpes zoster atau cacar api) dan herpes simpleks (penyebab herpes genital dan cold sore atau luka melepuh di sekitar bibir).
Rp. 5.500"
ACIFAR 400mg,"13,000.00",RESEP DOKTER,"Mengandung acyclovir/asiklovir yang digunakan untuk mengobati infeksi yang disebabkan oleh virus seperti varisela zoster (penyebab herpes zoster atau cacar api) dan herpes simpleks (penyebab herpes genital dan cold sore atau luka melepuh di sekitar bibir).
Rp. 5.500"
ACIFAR 400 BOX,"35,000.00",RESEP DOKTER,"Mengandung acyclovir/asiklovir yang digunakan untuk mengobati infeksi yang disebabkan oleh virus seperti varisela zoster (penyebab herpes zoster atau cacar api) dan herpes simpleks (penyebab herpes genital dan cold sore atau luka melepuh di sekitar bibir).
Rp. 5.500"
ACIFAR Cream,"7,500.00",RESEP DOKTER,"Mengandung acyclovir/asiklovir yang digunakan untuk mengobati infeksi yang disebabkan oleh virus seperti varisela zoster (penyebab herpes zoster atau cacar api) dan herpes simpleks (penyebab herpes genital dan cold sore atau luka melepuh di sekitar bibir).
Rp. 5.500"
ACNES SEALING JELL,"25,000.00",BEBAS,"Mengurangi peradangan pada jerawat, juga berkhasiat menghaluskan dan menutrisi kulit. Melawan bakteri penyebab jerawat, mengurangi peradangan (kemerahan) pada kulit wajah akibat jerawat, mengecilkan volume jerawat serta mencegah peyumbatan pori-pori."
ACNES CREAMY WASH 100GR,"30,000.00",BEBAS,"Pembersih wajah dengan 3 manfaat yaitu membersihkan wajah, sebagai anti bakteri dan memberi nutrisi bagi kulit"
ACNES CREAMY WASH 50ML,"20,000.00",BEBAS,"Pembersih wajah dengan 3 manfaat yaitu membersihkan wajah, sebagai anti bakteri dan memberi nutrisi bagi kulit"
ACYCLOVIR,450.00,RESEP DOKTER,Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh
ACNOL LOTION 10ML,"20,000.00",BEBAS,"Obat anti jerawat yang memiliki efek anti bakteri, sehingga dapat menyembuhkan jerawat dengan cepat"
ACYCLOVIR (OBAT LUAR)  INF,"4,500.00",RESEP DOKTER,Salep antivirus pada penyakit infeksi kulit seperti herpes (simpleks dan genitalis)
ACYCLOVIR 200 KF,"7,000.00",RESEP DOKTER,Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh (ACYCLOVIR 200 KF bekerja dengan cara menekan perkembangan dan penyebaran virus)
ACYCLOVIR 200 KF BOX,"65,000.00",RESEP DOKTER,"Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh (ACYCLOVIR 200 KF bekerja dengan cara menekan perkembangan dan penyebaran virus, 10 trip @ 10 tablet)"
ACYCLOVIR 400 KF,"15,000.00",RESEP DOKTER,Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh
ACYCLOVIR 400 KF BOX,"120,000.00",RESEP DOKTER,Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh (10 strip @ 10 tablet)
ACYCLOVIR 400mg PHAPROS,750.00,RESEP DOKTER,Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh
ACYCLOVIR 400mg PHAPROS BOX,"30,000.00",RESEP DOKTER,Obat antivirus yang dapat menghambat pertumbuhan dan penyebaran dari virus herpes di dalam tubuh (5 strip @ 10 tablet)
ACYCLOVIR 5% CR KF,"5,000.00",RESEP DOKTER,Salep antivirus pada penyakit infeksi kulit seperti herpes (simpleks dan genitalis)
ADEM SARI SACH-24,"55,000.00",BEBAS,"Minuman penyejuk mengandung bahan aktif ekstrak jeruk nipis, kayu manis, pulosari serta vitamin C yang membantu meredakan gejala panas dalam (1 box isi 24 sachet)"
ADEM SARI SCH,"2,500.00",BEBAS,"Minuman penyejuk mengandung bahan aktif ekstrak jeruk nipis, kayu manis, pulosari serta vitamin C yang membantu meredakan gejala panas dalam."
